Sender	Receiver	Amount	Priority
SFB	CNE	752	U
ZZG	HZE	434	HU
MZD	NZW	765	U
AEG	RBW	754	HU
CHM	TKJ	582	HU
XSD	GIC	192	HU
CIC	KOV	314	N
LOB	UPD	441	N
GXL	TBE	498	N
DOJ	ZKP	980	HU
WXZ	QQE	652	N
KLF	AJU	340	HU
VXP	TCJ	270	U
QMZ	MFZ	442	HU
UNO	NOI	440	HU
KCM	AOF	417	U
XJY	AEK	550	HU
GVS	FZZ	321	HU
HSU	DEG	587	HU
SBP	PUN	252	HU
OUG	CHM	455	N
DGN	KAZ	575	U
EPW	OVH	526	HU
FCU	EOH	660	N
ZVX	WIQ	488	U
XXS	TIP	600	N
XBA	UAD	717	N
LND	YBW	361	U
HEG	PKF	243	HU
YYE	UDF	509	HU
EIV	YJP	452	U
IKW	OQM	391	HU
RQF	RTI	413	HU
WEW	NCW	370	N
CTS	AEK	645	N
MLJ	YTD	730	HU
EVS	TKE	698	U
WAH	RFL	414	N
JYB	ZAG	747	HU
RYV	XAD	444	N
DLI	WEW	851	U
VNF	HNK	612	U
MYG	QFG	409	N
FGF	JZZ	333	U
CXU	SRZ	266	N
MNR	VSG	286	N
NBS	QRM	187	N
HGW	UTG	731	N
STC	OPV	666	HU
LZB	GHY	454	N
XVD	WPL	553	U
SKP	TUF	424	U
ZMF	BEX	988	U
YQW	KRA	340	N
IBK	QVR	489	N
EAW	AUE	550	U
AKP	BXQ	623	N
KJH	MNT	465	HU
ITQ	AXS	55	U
EUI	PWI	247	U
OMK	UDH	571	U
NOH	YZK	497	N
RCS	BKX	311	HU
CJG	NCD	476	U
TDX	UKX	337	U
EUI	WKT	548	HU
UQR	ZJU	214	HU
YYU	IFV	573	N
TBE	WXZ	549	N
YAD	JHH	513	U
NGS	MVX	503	HU
NVT	JPB	551	N
TYX	BFY	370	N
OKU	EVS	476	N
LPO	VSJ	632	U
BUN	KAZ	720	HU
NDQ	OGD	528	U
JOJ	NDU	476	HU
CTS	IOY	317	N
VSP	WGA	212	N
TRA	XSS	340	N
YQW	YFS	750	U
RFL	RPM	654	U
LPO	VIX	456	U
PYK	ANY	415	HU
RZN	ZWM	416	HU
BTY	SDJ	699	U
TTP	NXQ	444	HU
DED	GGJ	751	N
YFV	UJF	629	U
ICL	BUP	759	HU
TNY	ACC	325	HU
DRV	XJY	501	N
NSL	ZZG	323	HU
YMC	PUN	619	HU
IGF	FWK	523	U
SAQ	OVH	443	U
YTD	URW	791	HU
QSD	SRE	545	U
RUO	HGP	699	N
DYE	FCU	656	HU
ISF	VSP	344	U
NDU	AVM	376	U
DED	NDQ	509	HU
ITZ	OQM	273	HU
GMI	KDV	615	N
MLW	PFK	243	U
XHU	KZS	825	HU
XSN	RRJ	399	N
QSU	WSK	835	HU
UDH	RDP	417	HU
ONE	VFO	305	HU
MZD	XSK	505	U
JCF	JRY	505	HU
HWB	JOJ	163	U
IPZ	WKS	710	HU
MNR	WBY	276	N
WTJ	JKR	567	U
WVH	CDH	598	U
BUS	WJZ	527	U
RUB	JFB	476	U
XPK	CJG	539	N
PAD	KKP	286	N
XHU	GHK	339	N
UAZ	WTC	277	HU
YZF	AEK	816	U
FIX	EOZ	799	N
UQR	JMX	552	N
VCH	BUN	253	HU
FDA	YZK	499	N
HRI	TNS	802	U
KNR	DVH	404	N
DOA	SIV	659	N
EPW	HNK	305	U
KDV	RPM	637	N
LIP	LKR	308	U
TAY	HRI	253	U
XSN	CGQ	308	U
AUE	PKO	326	HU
LOB	JIJ	317	U
FUM	HXU	648	HU
FPR	UDF	513	HU
LSO	IPY	435	HU
CHS	IPY	282	N
SZE	UAD	296	HU
ZJY	DXL	346	N
JHZ	FEL	276	HU
